सुभाषितम्	विषयः	भाषा	वक्ता	स्रोतांसि	रस्यता	रसः। भावः	विवरणम्	सङ्केतः	छन्दः	अर्थालङ्काराः	शब्दालङ्काराः	स्मरणीय-पदानि
आदौ नम्रस्ततः स्तब्धः कार्यकालेषु निष्ठुरः। कृते कार्ये पुनर्नम्रः शिश्नतुल्यो वणिग्जनः॥	वणिक्, स्वामिता, हास्यम्	संकृतम्										
किमत्र मधु वर्तते किमु विकासमेतद्गतं मनोभवधनुर्गुणे किमिदमर्पणीयं मया । इति भ्रमरवीक्षणैर्मधुरितस्ततःपातिभिः परीक्षत इवाधुना कुसुममेकमेकं वने ॥	वसन्तः	संकृतम्	राजारामज-शङ्करः									
अत्रान्तरे भ्रमद्भृङ्गमालाभ्रूभङ्गविभ्रमः ।  कालः प्रोषितकान्तानां पुष्पकालः समाययौ ॥	वसन्तः 	संकृतम्	क्षेमेन्द्रः				Then dancing its eyebrows of quivering bees, Spring— Death for separated lovers— came.					
न च्छत्रं न तुरंगमो न वदतां वृन्दानि नो वन्दिनां न श्मश्रूणि न पट्टबन्धवसनं न ह्यम्बराडम्बरम् । अस्त्यस्माकममन्दमन्दरगिरिप्रोद्धूतदुग्धोदधि प्रेङ्खद्वीचिपरम्परापपरिणता वाणी तु नाणीयसी ॥	वाक्-पाटवम्, वाक् 											
मार्गे मार्गे निर्मलं ब्रह्मवृन्दं वृन्दे वृन्दे तत्त्वचिन्तानुवादः । वादे वादे जायते तत्त्वबोधो बोधे बोधे भासते चन्द्रचूडः ।।	वादः	संकृतम्										
हीनाङ्गानतिरिक्ताङ्गान् विद्याहीनान् वयोऽधिकान् । रूपद्रविणहीनांश्च जातिहीनांश्च नाक्षिपेत् ॥	वादः 	संकृतम्										
न भेतव्यं न बोद्धव्यं न श्राव्यं वादिनो वचः । झटिति प्रतिवक्तव्यं सभासु विजिगीषुभिः ॥ असंभ्रमो विलज्जत्वम् अवज्ञा प्रतिवादिनि । हासो राज्ञः स्तवश् चेति पञ्चैते जयहेतवः ॥	वादः, वितण्डः	संकृतम्		कलिविडम्बनम्								
 ब्रह्माण्डच्छत्रदण्डः शतधृतिभवनाम्भोरुहो नालदण्डः  क्षोणीनौकूपदण्डः क्षरदमरसरित्पट्टिकाकेतुदण्डः । ज्योतिश्चक्राक्षदण्डस्त्रिभुवनविजयस्तम्भदण्डोऽङ्घ्रिदण्डः  श्रेयस्त्रैविक्रमस्ते वितरतु विबुधद्वेषिणां कालदण्डः ॥	वामनः											
दीर्घीकुर्वन् पटु मदकलं कूजितं सारसानां प्रत्यूषेषु स्फुटित-कमलामोद-मैत्री-कषायः ।  यत्र स्त्रीणां हरति सुरत-ग्लानिम् अङ्गानुकूलः शिप्रावातः प्रियतम इव प्रार्थना-चाटुकारः ॥	वायुः	संकृतम्										
चेतसोऽस्तु प्रसादाय सतां प्राचेतसो मुनिः। पृथिव्यां पद्यनिर्माणविद्यायाः प्रथमं पदम् ॥ 	वाल्मीकिः	संकृतम्										
 दुन्दुभिश्च सुतरामचेतनस्तन्मुखादपि धनं धनं धनम्। इत्थमेव निनदः प्रवर्तते चेतनो यदि जनः किमद्भुतम्॥ 	वित्तम्	संकृतम्										
सत्यानुसारिणी लक्ष्मीः      कीर्तिस्त्यागानुसारिणी।  अभ्याससारिणी विद्या बुद्धिः कर्मानुसारिणी।। 	विद्या, कीर्तिः, अभ्यासः	संकृतम्										
अपूर्वः कोपि कोशोयम् विद्यते तव भारति । व्ययतः वृद्धिम् आयाति क्षयम् आयाति सञ्चयात् ॥ 	विद्यादानम्	संकृतम्										
तत् कष्टं यद् विद्वान् विद्यापारंगतोऽपि यत्नेन। विज्ञातारमविन्दन् भवति समः प्राकृतजनेन॥ 	विद्वत्ता	संकृतम्	सुन्दर-पाण्ड्यः	नीतिद्विषष्टिका								
काव्यशास्त्रविनोदेन कालोगच्छति धीमताम्। व्यसनेन च मूर्खाणां निद्रया कलहेन वा ।।	विद्वत्ता	संकृतम्										
 आखण्डलः सहस्राक्षो विरूपाक्षस्त्रिलोचनः। यूयं विलोचनाः सर्वे वयं न्यायैकलोचनाः॥	विद्वत्ता	संकृतम्										
 हर्तुर्याति न गोचरं किमपि शं पुष्णातियस्सर्वदा- ह्यर्थिभ्यः प्रतिपाद्यमानमनिशं प्राप्नोति वृद्धिं परां । कल्पान्तेष्वपि न प्रयाति निधनं विद्याख्यमन्तर्धनं येषां तान् प्रति मानमुज्झत नृपाः कस्तैस्सह स्पर्धते ॥	विद्वत्ता											
शास्त्राण्यधीत्यापि भवन्ति मूर्खा यस्तु क्रियावान् पुरुषः स विद्वान्। सुचिन्तितं चौषधमातुराणां न नाममात्रेण करोत्यरोगम्॥	विद्वत्ता, पुरुषकारः	संकृतम्										
क्व सूर्यप्रभवो वंश: क्व चाल्पविषया मति: । तितीर्षुर्दुस्तरं मोहादुडुपेनास्मि सागरम् ॥२॥	विनयः	संकृतम्										
मन्द: कवियश: प्रार्थी गमिष्याम्युपहास्यताम् । प्रांशुलभ्ये फले लोभादुद्वाहुरिव वामन: ॥३॥	विनयः, कवित्वम्	संकृतम्										
अथवा कृतवाग्द्वारे वंशेऽस्मिन्पूर्वसूरिभि: । मणौ वज्रसमुत्कीर्णे सूत्रस्येवास्ति मे गति: ॥	विनयः, कवित्वम्	संकृतम्										
देवेन प्रथमं जितो ऽसि शशभृल्लेखाभृतानन्तरं बुद्धेनोद्धतबुद्धिना स्मर ततः कान्तेन पान्थेन मे । त्यक्त्वा तान् बत हंसि माम् अतिकृशां बालाम् अनाथां स्त्रियं धिक् त्वां धिक् तव पौरुषं धिग् उदयं धिक् कार्मुकं धिक् शरान् ॥ 	विप्रलम्ब-शृङ्गारः	संकृतम्										
धूमज्योति: सलिलमरुतां संनिपात: क्व मेघ: संदेशार्था: क्व पतुकरणै: प्राणिभि: प्रापणीया: । इत्यौत्सुक्यादपरिगणयन् गुह्यकस्तं ययाचे कामार्ता हि प्रकृतिकृपणाश्‍चेतनाचेतनेषु ॥  	विप्रलम्ब-शृङ्गारः, सन्देशः	संकृतम्										
विज्ञप्तिरेषा मम जीवबन्धो ! तत्रैव नेया दिवसाः कियन्तः । सम्प्रत्ययोग्यस्थितिरेष देशः करा हिमांशोरापि तापयन्तः ॥	प्रिय-वियोगः	संकृतम्										
 ५७१३-१ आहारो गरलायते प्रतिदिनं हारोऽपि भारायते चन्द्रश्चण्डकरायते मृदुगतिर्वातोऽपि वज्रायते । ५७१३-२ आवासो विपिनायते मलयजालेपः स्फुलिङ्गायते हा हन्त प्रियविप्रयोगसमयः संहारकालायते ।।	प्रिय-वियोगः	संकृतम्										
गन्धहीनानि पुष्पाणि चन्द्रकान्तिरगौरिला । रसहीनश्च पाको मे विरहे तव भामिनि ॥	प्रिय-वियोगः	संकृतम्										
समृद्धकुसुमा वाटी रिक्ता पुष्पकरण्डिका ।  निवेदयत एतस्या गृहिण्या विरहव्यथाम् ॥	प्रिय-वियोगः	संकृतम्	राजारामज-शङ्करः									
सूक्ष्माङ्गीं तीक्ष्णवदनामनन्तजनसंकुले । लोकेऽन्विष्याम्यहं लुप्तां प्रियां सूचीं बुसेष्विव ॥	प्रिय-वियोगः	संकृतम्	बलरामः									
देशैरन्तरिता शतैश्च सरितामुर्वीभृतां काननैः. यत्नेनापि न याति लोचनपथं कान्तेति जानन्नपि ।  उद्ग्रीवश्चरणार्धरुद्धवसुधः कृत्वाश्रुपूर्णां दृशं. तामाशां पथिकस्तथापि किमपि ध्यायंश्चिरं वीक्षते ॥ 	प्रिय-वियोगः	संकृतम्										
प्रोञ्छति धाराऽऽसारैर्जीर्णकुटीपटलपातिभिर्जलदः । विरहदिनावधिरेखाः सममायूरेखया हलिकवध्वाः ॥	प्रिय-वियोगः, विरहदिनावधिरेखा	संकृतम्	राजारामज-शङ्करः									
आस्तां तावद्वचनरचनाभाजनत्वं विदूरे दूरे चास्तां तव तनुपरीरम्भसंभावनापि । भूयो भूयः प्रणतिभिरिदं किं तु याचे विधेया स्मारं स्मारं स्वजनगणने कापि रेखा ममापि ।।	वियोगः, स्नेहः	संकृतम्										
न हि कश्चित् विजानाति किं कस्य श्वो भविष्यति । अतः श्वः करणीयानि कुर्यादद्यैव बुद्धिमान्।।	विलम्बः	संकृतम्										
न किञ्चित् दीर्घसूत्राणां सिध्यत्यात्मक्षयादृते ।	विलम्बः											
क्षारं राद्धमिदं किमद्य दयिते राध्नोषि किं न स्वयमाः पापे प्रतिजल्पसे प्रतिदिनं पापस्त्वदीयः पिता। धिक्त्वां क्रोधमुखीमलीकमुखरस्त्वत्तोऽपि कः क्रोधनो दम्पत्योरिति नित्यदत्तकलहक्लेशान्तयोः किं सुखम्॥	विवाहः,	संकृतम्										
आः पाकं न करोषि पापिनि कथं पापी त्वदीयः पिता रण्डे जल्पसि किं तवैव जननी रण्डा त्वदीया स्वसा। निर्गच्छ त्वरितं गृहाद्बहिरितो नेदं त्वदीयं गृहं हा हा नाथ ममाद्य देहि मरणं जारस्य भाग्योदयः॥	विवाहः,	संकृतम्										
श्वश्रूश्वश्रूपती द्वौ च श्वश्रूपतिचतुष्टयः। ममापि पतयः पञ्च पतिवर्धि कुलं मम॥ 	विवाहः, नियोगः, पतिः	संकृतम्										
तं सन्त: श्रोतुमर्हन्ति सदसद्वयक्तिहेतव: । हेम्न: संलक्ष्यते ह्यग्नौ विशुद्धि: श्यामिकाऽपि वा ॥	विवेकः, परीक्षा	संकृतम्										
दुर्जनदूषितमनसां पुंसां स्वजने ऽपि नास्ति विश्वासः । बालः पायसदग्धो दध्य् अपि फूत्कृत्य भक्षयति ॥ 	विश्वासः	संकृतम्										
एका भार्या प्रकृतिरचला चंचला च द्वितीया पुत्रोनंगस्त्रिभुवनजयी मन्मथो दुर्निवार: । शेष: शय्या वसतिरुदकं वाहनं पन्नगारि: स्मारं स्मारं स्वगृहचरितं दारुभूतो मुरारि: ॥ 	विष्णुः	संकृतम्										
उन्मीलन्नेत्रपत्रोज्ज्वलमलकलतालोलरोलम्बडिम्बं पाणावादाय शोणाम्बुरुहमिव जवादात्मनो मुण्डमेव। ग्रीवानालोद्यदस्रासवरसरसनक्षीबमक्लीबवृत्या नृत्यारम्भोत्सुकायै भवतु भगवति च्छिन्नमस्ते नमस्ते॥	वीर्यम्, उल्लासः, छिन्नमस्ता											
इन्द्र जिमि जंभ पर । बाडव ज्यों अंभ पर । रावन सदंभ पर । रघुकुलराज हैं। पौन बारिबाह पर । संभु रतिनाह पर । ज्यों सहसबाह पर । राम द्विजराज हैं। दावा द्रुमदंड पर । चीता मृगझुंड पर । भूषन बितंड पर । जैसे मृगराज हैं। तेज तम अंस पर । कान्ह जिमि कंस पर । त्यों मलेच्छ बंस पर । सेर शिवराज हैं॥	वीर्यम्, शिवराजः 	व्रजभाषा					जैसे इन्द्र जम्भासुर पर, जैसे बडवाग्नि समुद्र पर, जैसे रघुकुल के राजा राम घमंडी रावण पर, जैसे पवन बादलों पर, जैसे शिव रतिपति काम पर, जैसे द्विजों के राजा परशुराम सहस्रार्जुन पर, जैसे आग पेड़ की टहनी पर, जैसे चीता हिरण के झुंड पर, भूषण कहते हैं जैसे सिंह हाथी पर, जैसे प्रकाश तम के अंश पर, जैसे कृष्ण कंस पर, वैसे ही म्लेच्छों के वंश पर शिवाजी राजा [हावी] हैं!					
नाभिषेको न संस्कारः सिंहस्य क्रियते वने । विक्रमार्जितसत्त्वस्य स्वयमेव मृगेंद्रता ॥ 	वीर्यम्, सिंहः											
यस्य बुक्कितमोङ्कारो ब्रह्मगन्धानुसारि यत् । स्वामी यस्यात्रिपुत्रस्तन्नौमि श्वानचतुष्टयम् ॥	वेदाः, दत्तात्रेयः	संकृतम्										
चितां प्रज्वालितां द्रुष्ट्वा, वैद्यो विस्मयं आगता: । नाहं गतो न मे भ्राता, कस्य इदं हस्तलाघवम ॥	वैद्यः	संकृतम्										
वैद्यो हरेच्छतं पश्यन् सहस्रं पुनरालपन् । वदँल्लक्षं चिकित्संस्तु प्राणानेव शरीरिणाम् ।	वैद्यः	संकृतम्	राजारामज-शङ्करः									
चक्षूरोगे समुत्पन्ने तप्तफालं गुदे न्यसेत्। तदा नेत्रोद्भवां पीडां मनसापि न संस्मरेत्॥	वैद्यः	संकृतम्										
 दृष्टे रवौ सरसिजं कुमुदं हिमांशौ नीलाम्बुवाहनिबिडे गगने शिखण्डी। प्रायस्तथा न हि वहन्ति विकासलक्ष्मीं व्याधौ यथा धनवतो भिषजां मुखानि॥	वैद्यः 	संकृतम्										
 वैद्यः क्रूरो यमः क्रूरो वैद्यः क्रूरो यमादपि। यमो हरत्यसूनेव वैद्यस्तु सवसूनसून्॥ 	वैद्यः 	संकृतम्										
 वैद्यराज नमस्तुभ्यं यमराजसहोदर। यमस्तु हरति प्राणान् वैद्यः प्राणान् धनानि च॥	वैद्यः 	संकृतम्										
 वैद्यराज नमस्तुभ्यं क्षपिताशेषामानव। त्वयि विन्यस्तभारोऽयं कृतान्तः सुखमेधते॥ 	वैद्यः 	संकृतम्										
ज्ञाता नभोलिपेरस्ति ज्ञाता वारिलिपेरपि ।  ज्ञाता ब्रह्मलिपेरस्ति ज्ञाता वैद्यलिपेस्तु कः ॥	वैद्यः, लिपिः	संकृतम्	राजारामज-शङ्करः									
काकुत्स्थस्य दशाननो न कृतवान् दारापहारं यदि क्वाम्भोधिः क्व च सेतुबन्धघटना क्वोत्तीर्य लङ्काजयः । पार्थस्यापि पराभवं यदि रिपुर् नादात् क्व तादृक् तपो नीयन्ते रिपुभिः समुन्नतिपदं प्रायः परं मानिनः ॥	वैरम्	संकृतम्										
काव्यामृतेन तृप्तानां किं नो व्याकृतिचिन्तया ।  बिम्बोष्ठी यदि बिम्बौष्ठी न प्रतीमो रसे भिदाम् ॥	व्याकरणम्	संकृतम्										
आस्तां विश्वसनं सखीषु विदिताभिप्रायसारे जने तत्राप्यर्पयितुं दृशं सुरचितां शक्नोमि न व्रीडया । लोकोऽप्येष परोपहासचतुरः सूक्ष्मेङ्गितज्ञोऽप्यलं मातः कं शरणं व्रजामि हृदये जीर्णोऽनुरागानलः ॥	व्रीडा, प्रिय-वियोगः	संकृतम्										
घटो जन्मस्थानं मृगपरिजनो भूर्जवसनं । वने वासः कंदादिकमशनमेवंविधगुणः।।  अगस्त्यः पायोधिं यदकृत करांभोजकुहरे । क्रियासिद्धिः सत्त्वे भवति महतां नोपकरणे ।।  	बलम्, उपकरणम्	संकृतम्										
रे रे लोकाः कुरुध्वं श्रवणपुटपिधानं द्रुतं हस्तयुग्मैः शैलाः सर्वेऽपि यूयं भवत गुरुतराः सावधाना धरित्र्याम्। शीघ्रं रे रावण त्वं विरचय वसनैर्नासिकानां पिधानं सुप्तोऽयं कुम्भकर्णः कटुरवविकटं शर्धते दीर्घमुच्चैः॥	शर्धः 	संकृतम्										
 जग्ध्वा चक्रसमानमाषवटकान् आध्मायमानोदरे      फट् फट् फाडिति पायवीयपवनान् योगीश्वरे मुञ्चति । उड्डीनं विहगैर्घटैर्विदलितं चान्दोलितं भित्तिभि:      शिष्यैर्धावितमर्भकैर्निपतितं कोलाहलोऽभून्मठे ।।	शर्धः 	संकृतम्										
देवीं वाचम् उपासते हि बहवः सारं तु सारस्वतं जानीते नितराम् असौ गुरुकुलक्लिष्टो मुरारिः कविः । अब्धिर् लङ्घित एव वानरभटैः किं त्व् अस्य गम्भीरताम् आपातालविलग्नपीवरवपुर् जानाति मन्थाचलः ॥	शास्त्र-बोधः, बुद्धिः	संकृतम्										
  पितृभिः ताडितः पुत्रः शिष्यस्तु गुरुशिक्षितः । घनाहतं सुवर्णं च जायते जनमण्डनम् ॥ 	शिक्षा	संकृतम्										
अनङ्गीकृतकन्दर्पामर्धाङ्गीकृतयोषितम् । अङ्गीकृतस्वभक्तौघां भजे कामपि देवताम् ॥ 	शिवः	संकृतम्	शङ्करोऽवधानी									
एकैश्वर्ये स्थितोऽपि प्रणतबहुफले यः स्वयंकृत्तिवासाः कान्तासंमिश्रदेहोऽप्यविषयमनसां यःपरस्ताद्यतीनां । अष्टाभिर्यस्य कृत्स्नं जगदपि तनुभिर्भिभ्रतो नाभिमानः सन्मार्गालोकनाय व्यपनयतु स वस्तामसीं वृत्तिमीशः ॥ 	शिवः	संकृतम्										
कस्मैचन प्रणमते मुदितो विभुर्मां विश्राणयेदिति शिरःशशिनोऽस्तु शङ्का । त्वन्मात्रभोज्य इति यो विदितो विधात्रा धन्यः स एव पुनरीश्वर कालकूटः ॥	शिवः	संकृतम्	राजारामज-शङ्करः									
नमस्तुङ्गशिरश्चुम्बिचन्द्रचामरचारवे । त्रैलोक्यनगरारम्भमूलस्तम्भाय शंभवे ॥ 	शिवः	संकृतम्										
मौलौ किं नु महेश? मानिनि! जलं, किं वक्त्रं? अम्भोरुहं  किं नीलालकवेणिका? मधुकरी, किं भ्रूलता? वीचिका  किं नेत्रे? शफरौ, किमु स्तनयुगं? प्रेङ्खद्रथाङ्गद्वयम्  साशङ्कामिति शोचयन् गिरिसुतां गङ्गाधरः पातु नः 	शिवः, शाठ्यम्, शृङ्गारः	संकृतम्										
इयत्या भिक्षया नेया लोकयात्रा द्वयोरिति । हृदयैक्यमनु प्राप्तौ शरीरैक्यं शिवौ नुमः ॥	शिवौ	संकृतम्										
उदरद्वयभरणभयात् अर्धाङ्गाहितदारः । यदि नैव तस्य सुतः कथमद्यापि कुमारः ॥ 	शिवौ	संकृतम्										
खेदास् ते कथम् ईदृशः प्रियतमे त्वन्नेत्रवह्नेर् विभो कस्माद् वेपितम् एतद् इन्दुवदने भोगीन्द्रभीतेर् भव । रोमाञ्चः कथम् एष देवि भगवन् गङ्गाम्भसां शीकरैर् इत्थं भर्तरि भावगोपनपरा गौरी चिरं पातु वः 	शिवौ	संकृतम्										
 वागर्थाविव संपृक्तौ वागर्थप्रतिपत्तये । जगत: पितरौ वन्दे पार्वतीपरमेश्वरौ ॥१॥ 	शिवौ	संकृतम्										
नमामि यामिनीनाथलेखालङ्कृतकुन्तलाम् । भवानीं भवसन्तापनिर्वापणसुधानदीम् ॥ 	शिवौ	संकृतम्										
 पशुपतेरखिलेषु गलेषु सा युगपदर्पयितुं कुसुमस्रजम्। परिणये द्विभुजा हिमशैलजा दशभुजा किमभूदपि लीलया॥ 	शिवौ	संकृतम्										
जयत्युत्थाप्य नृत्येषु भुजङ्गेन्द्राङ्गदं पदम् । भुजङ्गत्रासितं गौर्यै व्याकुर्वन्करणं हरः ॥	शिवौ, नाट्यम्	संकृतम्										
क्रीडारसेन रहसि स्मितपूर्वमिन्दोः  लेखां विकृष्य विनिबध्य च मूर्ध्नि गौर्या । किं शोभिताहम् अनयेति शशाङ्कमौलेः  पृष्टस्य पातु परिचुम्बनमुत्तरं वः  ॥ 	शिवौ, शृङ्गारः	संकृतम्										
जटागुल्मोत्सङ्गं प्रविशति शशी भस्मगहनं फणीन्द्रो ऽपि स्कन्धाद् अवतरति लीलाञ्चितफणः । वृषः शाठ्यं कृत्वा विलिखति खुराग्रेण नयनं यदा शम्भुश् चुम्बत्य् अचलदुहितुर् वक्त्रकमलम् ।	शिवौ, शृङ्गारः	संकृतम्										
तर्किका घटपटेति रटेयुः शब्दिकाः खफछठेति पठेयुः । मादृशां तु सततं स्मरणियौ चन्द्रचूडचरणौ रमणीयौ ॥ 	शुष्क-पण्डितः	संकृतम्										
ऊर्ध्वाक्षः पिबति जालं यथा यथा विरलाङ्गुलिस् चिरं पथिकः ।  प्रपापालिकापि तथा तथा धारां तनुकामपि तनूकरोति । । (गथासप्तशती)	शृङ्गारः	संकृतम्										
दयिता बाहुपाशस्य कुतोऽयमपरो विधिः ।  जीवयत्यर्पितः कण्ठे मारयत्यपवर्जितः ॥	शृङ्गारः	संकृतम्										
हीयते हि सतां तेजस् स्पृष्टं स्यात् चेदसूयया। दृष्ट्वा त्वां पश्य सौधाग्रे चन्द्रकान्तिरगौरिला।।	शृङ्गारः	संकृतम्	अमोघः									
तपस्यतीव चन्द्रो ऽयं त्वन्मुखेन्दुजिगीषया । कृशः शम्भुजटाजूटतटिनीतटम् आश्रितः ॥ 	शृङ्गारः	संकृतम्										
तरुण्या नीयमानोऽसौ दीपोऽञ्चलपटावृतः। न दत्तौ विधिना हस्तौ धुनोतीति मुहुः शिरः॥ 	शृङ्गारः	संकृतम्										
एकवस्तुम् द्विधा कर्तुम् बहवः सन्ति धन्विनः । धन्वी स मार एवैको द्वयोः ऐक्यं करोति यः ॥	शृङ्गारः, कामः	संकृतम्										
त्यागो हि सर्वव्यसनानि हन्तीत्यलीकमेतद्भुवि संप्रतीदम् । जातानि सर्वव्यसनानि तस्यास्त्यागेन मे मुग्धविलोचनायाः	शृङ्गारः, कामः	संकृतम्										
एकस्मिन् शयने पराङ्मुखतया वीतोत्तरं ताम्यतो रन्योन्यस्य हृदि स्थितेऽप्यनुनये संरक्षतोर्गौरवम्। दम्पत्यो: शनकैरपाङ्गवलनान्मिश्रीभवच्चक्षुषो- र्भग्नो मानकलि: सहासरभसव्यासक्तकण्ठग्रह:।।१९।।' [अमरुक:].	शृङ्गारः, प्रणय-कलहम्	संकृतम्										
स मे समासमो मासः सा मे माससमा समा ।  यो यातया तया याति या यात्यायातया तया  ॥	शृङ्गारः, प्रिय-वियोगः	संकृतम्										
पि पि प्रिय स स स्वयं मु मु मुखासवं देहि मे  त त त्यज दु दु द्रुतं भ भ भ भाजनं काञ्चनम् । इति स्खलितजल्पितं मदवशात्कुरङ्गीदृशः प्रगे हसितहेतवे सहचरीभिरध्यैयत ॥	शृङ्गारः, सुरा	संकृतम्										
अभयम् अभयं देव ब्रूमस् तवासिलतावधूः कुवलयदलश्यामा शत्रोर् उरःस्थलशायिनी । समयसुलभां कीर्तिं भव्याम् असूत सुताम् असाव् अपि रमयितुं रागान्धेव भ्रमत्य् अखिलं जगत् 	शौर्यम्	संकृतम्										
भोः श्राद्धपक्ष सकलद्विजकल्पवृक्ष क्वास्मान् विहाय गतवानसि यच्छ वाचम्। डिण्डीरपिण्डपरिपाण्डुरपायसानि को दास्यति त्वयि गते घृतलड्डुकानि॥	श्राद्धम् 	संकृतम्					DiNDIra (डिण्डीर) or hiNDIra (हिण्डीर) refers to the white oval internal shell of a cuttlefish that often washes up on the shore and is used as a dietary supplement for pets. In Sanskrit literature, it is frequently used in similes to describe something white. Another name for it is samudraphena.					
जीयाद्वटतरुच्छायागोचरो गुरुसत्तमः । शुश्रूषुर्यस्य तन्मौनं मन्ये श्रुतिरभूत्त्रयी ॥ 	श्रुतिः, दक्षिणामूर्तिः, 	संकृतम्	राजारामज-शङ्करः									
सुलभाः पुरुषा राजन् सततं प्रियवादिनः । अप्रियस्य च पथ्यस्य वक्ता श्रोता च दुर्लभाः ।।	श्रोतृत्वम्, हितसूचना	संकृतम्										
 केयूराणि न भूषयन्ति पुरुषं हारा न चंद्रोज्ज्वला न स्नानं न विलेपनं न कुसुमं नालंकृताः मूर्धजाः । वाण्येका समलंकरोति पुरुषं या संस्कृता धार्यते क्षीयन्तेऽखिलभूषणानि सततं वाग्भूषणं भूषणम् ॥	संस्कृतम्, वाक् 											
न भवति भवति च न चिरं भवति चिरं चेत् फले विसंवदति। कोपः सत्पुरुषाणां तुल्यः स्नेहेन नीचानां॥ ७३॥	सज्जन-कोपः, दुर्जन-स्नेहः	संकृतम्										
इक्षोरग्रात् क्रमशः पर्वणि पर्वणि यथा रसविशेषः। तद्वत्सज्जनमैत्री विपरीतानां तु विपरीता॥ १६ ॥	सज्जन-मित्रता	संकृतम्										
कल्पद्रुमप्रतीकाशश्चिन्तामणिसहोदरः । स्थाने साधुजनस्तस्माच्छ्रूयते न तु दृश्यते ॥	सज्जनः	संकृतम्	राजारामज-शङ्करः									
शैले शैले न माणिक्यं मौक्तिकं न गजे गजे I सुजनाः न हि सर्वत्र चंदनं न वने वने II	सज्जनः, विरलता											
 किं जातोऽसि चतुष्पथे घनतरछायोऽसि किं छायया संयुक्तफलितोऽसि किं फलभरैः पूर्णोऽसि किं सन्नतः हे सद्वृक्ष सहस्व सम्प्रति सखे शाखाशिखाकर्षण- क्षोभामोटनभञ्जनानि जनतः स्वरैरेव दुश्चेष्टितैः ।	सत्त्वेन हानिः	संकृतम्										
ऐश्वर्यस्य विभूषणं सुजनता शौर्यस्य वाक् संयमो ज्ञानस्योपशमः कुलस्य विनयो वित्तस्य पात्रे व्ययः । अक्रोधस्तपसः क्षमा बलवतां धर्मस्य निर्व्याजता सर्वेषामपि सर्वकारणमिदं शीलं परं भूषणम् ॥ 	सद्गुणः	संकृतम्										
क्षान्तिश् चेत् कवचेन किं किम् अरिभिः क्रोधो ऽस्ति चेद् देहिनां ज्ञातिश् चेद् अनलेन किं यदि सुहृद् दिव्यौषधैः किं फलम् । किं सर्पैर् यदि दुर्जनाः किमु धनैर् विद्यानवद्या यदि व्रीडा चेत् किमु भूषणैः सुकविता यद्यस्ति राज्येन किम् ॥ 	सद्गुणाः, दुर्गुणाः	संकृतम्										
गङ्गादितीरेषु वसन्ति मत्स्याः देवालये पक्षिगणाश्च नित्यम् । ते ज्ञानहीना न फलं लभन्ते तीर्थानि देवायतनानि भावः ॥ 	सद्भावः, सहृदयः	संकृतम्										
कुतो वा नूतनं वस्तु वयम् उत्प्रेक्षितुं क्षमाः । वाक्य-विन्यास-वैचित्र्य-मात्रम् अत्र विचार्यताम् ॥	सनातन-स्थितिः	संकृतम्										
चंचच्चन्द्र करस्पर्श हर्षोन्मीलिततारका. अहो रागवती सन्ध्या जहाति स्वयमम्बरम्	सन्ध्या, रात्रिः	संकृतम्	वाल्मीकिः									
दातुं परोपकृतिनिर्भरचित्तवृत्तेः आसन्नदूरगणना नहि संश्रितेषु । भानुर्विकासयति हन्त सरोजखण्डं पाणिस्थपङ्कजसमं भुवनान्तरेषु ॥ 	समदृष्टिः	संकृतम्										
 प्रपायां पीयते वारि सत्त्रागारेऽपि भुज्यते। सुप्यते देवसदने यभ्यते यत्र लभ्यते॥	सरलता, दारिद्र्यम्	संकृतम्										
जयति जगन्निर्मातुर्जाया सा या विलोकते कवितिलकान् ।  अन्तरमान्त्या दयया कृष्टाभ्यामिव निरायताभ्यां दृग्भ्याम् ।	सरस्वती	संकृतम्	राजारामज-शङ्करः									
 देहच्छटाभिरच्छाभिरधःकृतसितच्छदा । प्रेयसी श्रेयसी धातुर्भातु नो हृदि सर्वदा ॥	सरस्वती	संकृतम्	राजारामज-शङ्करः 									
 हंसायमानश्चरणारविन्दे कराम्बुजे केलिशुकायमानः । वीणायमानोऽम्ब तवाथवाङ्के कदा नु धन्यो भविता जनोऽयम् ॥ 	सरस्वती		राजारामज-शङ्करः									
गीतं कोकिल ते मुदा रसविदः शृण्वन्ति कर्णामृतम् नो किञ्चिद् वितरन्ति ते तरु-दलैर् एव स्वयं जीवसि ।  कर्णायुर्हरम् उद्गरन्ति विरुतं काकास्तु तेभ्यो बलिम् प्रज्ञा एव दिशन्ति हन्त धिग् इदं वक्रं विधेः क्रीडितम् ॥	सहजम् अन्याय्यम्, स्नेहे अविवेकः	संकृतम्										
ये ऽमी ते मुकुलोद्गमाद् अनुदिनं त्वाम् आश्रिताः षट्पदाः  ते भ्राम्यन्ति फलाद् बहिर् बहिर् अहो दृष्ट्वा न संभाषसे । ये कीटास् तव दृक्-पथं न च गतास् ते त्वत्-फलाभ्यन्तरे  धिक् त्वां चूत-तरो परापर-परिज्ञानानभिज्ञो भवान् ॥  	सहजम् अन्याय्यम्, स्नेहे अविवेकः	संकृतम्										
